date,weight
17/03/2025,48.5
18/03/2025,48.0
19/03/2025,47.6
20/03/2025,47.7
21/03/2025,47.9
22/03/2025,48.1
23/03/2025,47.9
24/03/2025,48.3
25/03/2025,48.0
26/03/2025,48.1
27/03/2025,47.9
28/03/2025,48.3
29/03/2025,48.2
30/03/2025,48.2
31/03/2025,48.3
01/04/2025,48.2
02/04/2025,48.3
03/04/2025,48.5
04/04/2025,48.9
05/04/2025,48.2
06/04/2025,48.0
07/04/2025,48.3
08/04/2025,48.3
09/04/2025,48.1
10/04/2025,48.1
11/04/2025,48.4
12/04/2025,48.3
13/04/2025,47.9
14/04/2025,48.3
15/04/2025,48.3
16/04/2025,48.2
17/04/2025,48.2
18/04/2025,48.1
19/04/2025,48.0
21/04/2025,48.3
22/04/2025,48.3
23/04/2025,48.1
24/04/2025,48.2
25/04/2025,48.4
26/04/2025,48.2
27/04/2025,48.4
28/04/2025,48.1
29/04/2025,48.3
30/04/2025,48.1
01/05/2025,47.8
02/05/2025,48.1
03/05/2025,47.9
