date,weight
17/03/2025,23.5
18/03/2025,32.97
19/03/2025,24.44
20/03/2025,24.21
21/03/2025,24.09
22/03/2025,23.82
23/03/2025,24.11
24/03/2025,24.68
25/03/2025,23.94
26/03/2025,23.91
27/03/2025,24.06
28/03/2025,23.62
29/03/2025,23.83
30/03/2025,23.74
31/03/2025,23.68
01/04/2025,23.76
02/04/2025,23.68
03/04/2025,23.54
04/04/2025,23.15
05/04/2025,23.76
06/04/2025,24.05
07/04/2025,23.70
08/04/2025,23.67
09/04/2025,23.89
10/04/2025,23.82
11/04/2025,23.55
12/04/2025,23.68
13/04/2025,24.06
14/04/2025,23.68
15/04/2025,23.65
16/04/2025,23.86

